actual,predicted
0.059259259259259255,0.11554305
0.012698412698412698,0.124712
0.08518518518518518,0.11489079
0.1423280423280423,0.10487317
0.10793650793650794,0.10565026
0.027513227513227514,0.10657933
0.06825396825396825,0.10001225
0.12433862433862433,0.11647989
0.2513227513227513,0.123627864
0.01904761904761905,0.120027944
0.026455026455026454,0.1157504
0.01798941798941799,0.10501816
0.12169312169312169,0.0977976
0.1767195767195767,0.10953883
0.01798941798941799,0.10957097
0.08888888888888888,0.10552558
0.012698412698412698,0.11430195
0.47619047619047616,0.10741757
0.07354497354497354,0.1086941
0.07195767195767196,0.10188439
0.03809523809523809,0.09952712
0.05661375661375661,0.10215326
0.012698412698412698,0.11818812
0.01164021164021164,0.10825765
0.1259259259259259,0.09703492
0.02433862433862434,0.09333465
0.010582010582010583,0.109108835
0.015873015873015872,0.103192
0.08359788359788359,0.0952308
0.33068783068783064,0.10459202
0.15079365079365076,0.115309685
0.07248677248677247,0.11421383
0.33968253968253964,0.11021726
0.03809523809523809,0.11169743
0.0365079365079365,0.102890946
0.02328042328042328,0.1168908
0.06084656084656085,0.1049801
0.0783068783068783,0.11085926
0.18677248677248676,0.11518602
0.01798941798941799,0.111380935
0.11798941798941798,0.102912545
0.291005291005291,0.11234774
0.014814814814814815,0.114501104
0.05873015873015873,0.10614604
0.04708994708994709,0.13757773
0.3793650793650793,0.13863409
0.06984126984126983,0.12093384
0.015873015873015872,0.121215306
0.07407407407407407,0.11110419
0.012698412698412698,0.10188971
0.08253968253968254,0.09889854
0.01798941798941799,0.10016149
0.09523809523809523,0.0981099
0.1952380952380952,0.103774555
0.05132275132275132,0.10686889
0.2518518518518518,0.10662799
0.01904761904761905,0.10834293
0.10952380952380952,0.117226586
0.20529100529100527,0.12265157
0.3862433862433862,0.117887214
0.23809523809523805,0.11338431
0.05343915343915344,0.11282402
0.031746031746031744,0.10971203
0.1492063492063492,0.102315724
0.01164021164021164,0.103039496
0.173015873015873,0.09925629
0.06402116402116402,0.10387003
0.26031746031746034,0.13411254
0.0328042328042328,0.12639965
0.2587301587301587,0.117059626
0.03809523809523809,0.116022475
0.07513227513227512,0.11349393
0.0455026455026455,0.124648735
0.054497354497354496,0.113810375
0.33439153439153435,0.11440613
0.06878306878306878,0.13912567
0.1037037037037037,0.13604221
0.2788359788359788,0.1274921
0.17037037037037037,0.11584107
0.07883597883597884,0.11776714
0.13703703703703704,0.107162386
0.020105820105820106,0.14181161
0.29576719576719573,0.12335904
0.21957671957671954,0.11413681
0.026455026455026454,0.114917636
0.34867724867724864,0.10817432
0.022222222222222223,0.10803727
0.21534391534391534,0.09918009
0.2058201058201058,0.09997966
0.07089947089947089,0.106343046
0.06772486772486772,0.1367886
0.031746031746031744,0.124545366
0.11269841269841269,0.11475866
0.13544973544973543,0.11589965
0.44920634920634916,0.11230159
0.19947089947089947,0.10867746
0.04603174603174603,0.10746979
