actual,predicted
19.2,28.404767973899737
12.0,20.016307343376514
0.0,3.271806887288943
5.7,15.641100986146814
-0.4,-0.3985338324482699
69.1,25.58043766181128
13.4,28.77176581756413
23.4,22.96304518615608
8.8,17.213308922816758
4.0,21.619106957816953
45.7,22.012668047169775
22.6,19.965478100730298
40.4,28.13362316229712
23.6,23.24030564767388
112.9,32.08370976534809
14.6,35.140370766531625
20.3,24.111671380376528
19.7,18.645341972441088
95.0,56.501557079100266
66.6,32.12122260470222
4.2,12.53644583219642
41.3,34.27540741585818
21.5,24.369390558419468
4.7,14.644582920995447
12.3,28.497698206594194
-0.4,2.353671266334883
0.6,6.939945842947128
16.4,26.8205204806251
20.2,13.361970957753272
9.8,17.654086977315803
72.3,28.321644948470762
10.1,26.335511513738005
9.9,21.128508717390897
4.5,12.496321044633524
9.0,19.41503708097367
-0.2,2.7477870364806307
16.2,16.333950849026593
-0.2,-0.3985338324482699
-0.2,-0.3985338324482699
-1.0,-0.3985338324482699
2.6,14.4626051017085
8.0,15.013082042334743
37.8,19.241587678473902
33.2,23.47946703188901
0.4,5.105876365118036
10.0,52.437655270010225
13.5,21.434126583180216
0.6,6.939945842947128
33.2,21.693469697360168
30.5,27.671652377323127
19.3,24.289412819554407
29.9,26.68039738219784
-0.4,-0.3985338324482699
37.6,30.423382888348392
66.0,33.789586153665574
-0.2,-0.3985338324482699
12.2,15.60003073230812
0.4,5.105876365118036
6.3,13.03130473048681
28.3,21.88221186434809
9.5,29.323744035865268
26.2,31.838163314880113
-1.4,-0.3985338324482699
31.6,20.477883792338385
4.3,10.884354173654277
35.3,39.66945789063387
69.1,37.466889291465485
8.2,12.810513443166354
0.6,4.493785951148662
2.0,7.858081463901188
34.6,27.381426965676845
1.8,14.280627282421552
48.4,23.414105690152518
13.6,32.93838548962542
50.6,19.32779660502664
27.5,19.741511100296485
18.2,27.12117543669688
-0.2,-0.3985338324482699
31.7,21.69716319850138
1.0,21.619106957816953
-0.2,-0.3985338324482699
127.3,33.450130185859365
22.8,51.493319677987536
34.3,32.2570865129239
75.2,26.452671187677765
2.4,12.810513443166354
4.9,9.809326800840218
29.4,29.386616246565836
12.4,33.7241977968293
-0.2,-0.3985338324482699
20.7,21.067897338788068
39.3,29.944912707568598
52.8,31.08392554025088
8.0,19.100735947936542
1.8,14.280627282421552
20.8,28.588286720602284
4.4,9.038227010259403
9.6,31.30317962902683
64.8,22.799917069709686
70.0,25.572002448832222
23.0,14.624660729702992
-0.8,-0.3985338324482699
15.7,18.681885563527448
41.8,21.251074827413746
13.8,14.132186770000072
1.4,8.40852248365782
0.6,6.939945842947128
24.1,24.04012512561942
0.8,10.61028656268434
2.2,9.038227010259403
16.0,22.633989625542817
41.3,30.24037837914443
10.6,41.42883487487762
48.3,32.976889256737664
11.3,29.479630618587876
36.4,24.79695900033981
1.8,6.939945842947128
50.2,22.74468542951159
1.0,21.619106957816953
7.1,25.139469966588173
99.7,29.453680645578913
21.4,38.24975323222987
-0.2,-0.3985338324482699
77.0,28.22170909744363
9.5,16.296674579537594
1.8,7.032035634630115
9.2,22.245515889449834
14.6,21.61676523913058
53.9,26.50908502272751
-0.2,-0.3985338324482699
17.3,24.73596818157813
56.3,23.81835731063083
22.8,22.775836984604858
-0.2,-0.3985338324482699
12.3,18.569345756148152
38.4,19.981704033905896
-0.2,-0.3985338324482699
112.9,33.42250724507068
1.8,6.939945842947128
1.6,10.61028656268434
0.2,4.004994325604774
28.5,26.13072496171346
26.9,26.38698590364075
0.2,4.004994325604774
23.4,17.56638534180542
59.0,27.98968584805744
14.7,17.654086977315803
48.8,35.30425825905901
14.2,17.654086977315803
-0.2,-0.3985338324482699
83.2,30.997175519810476
0.2,4.004994325604774
44.7,29.118217367327006
5.7,10.60932929458348
