actual,predicted
0.97,3.2512609664006336
0.79,2.7682534047875764
2.02,2.0785002602115448
-0.1,0.5487810159532699
3.52,2.1160684386514896
2.15,2.4062589029007295
0.76,2.7118832099575743
1.66,1.218867283861267
1.74,1.3612399990402622
2.31,2.880084931018944
1.76,1.4730709820885948
0.79,2.8023996270698524
0.25,1.4023371545403114
3.91,3.167463513531171
1.69,1.2004775966430108
0.23,1.3578989878044552
3.95,3.2072150289343524
1.43,0.6394365060269079
-0.35,-0.20668140132704682
0.7,2.5884912418163744
0.26,1.412701895105263
1.67,1.1693355684512883
0.77,2.6784562557305307
-0.22,0.17563133888397264
0.09,1.0106125414085974
3.38,1.8461391710529953
3.51,2.126659716361047
1.12,3.648423550979178
2.06,2.1794384595622027
0.79,2.8196479376365184
4.71,1.33242472730238
0.94,3.148608257748932
3.35,1.6839735437024135
0.41,1.8295541732342044
1.85,1.6839735437024135
3.85,2.98147294449564
5.23,2.638336957489243
1.51,0.8811844795566094
2.18,2.51556755804347
0.27,1.442225570172712
2.27,2.7688808631952817
3.5,2.051310404042355
3.58,2.3099807357191358
3.67,2.4978357517427363
3.34,1.5248566567760806
0.18,1.1564490431637797
1.43,0.532114530029582
3.68,2.560746723350851
5.5,3.3317326192891983
-0.11,0.5185625192620572
0.82,2.910303427710157
0.11,0.9587296231133093
0.79,2.8232741572394646
0.86,2.9930790201701987
3.83,2.9257155400014696
5.05,2.184289173470741
1.7,1.3022062306111672
0.93,3.167995902128176
3.57,2.2821797187632202
-0.51,-0.6901773483864497
3.21,1.358174960995034
-0.05,0.6793249216593088
0.84,2.9707404210925823
0.52,2.099767019650732
0.59,2.327597915489979
1.98,2.036004226287409
0.05,0.9068238890006193
2.12,2.380089277591855
2.73,3.9190851251556733
0.11,1.0669664386176199
3.36,1.6616219061020292
0.5,2.051310404042355
2.38,3.036406232764282
1.63,1.0995703629852063
1.69,1.2639350817369692
3.64,2.4071802616690983
0.23,1.3213515834078613
2.31,2.892172329695429
4.99,1.9775789016649021
0.69,2.5582727451251612
5.08,2.225869281521822
1.66,1.2180589220736833
1.7,1.2956638242839487
0.27,1.442225570172712
1.55,0.9205117136312925
5.77,4.00468618105853
1.89,1.7860226971948436
1.13,3.6531373646584973
1.76,1.419774517297346
4.66,5.01246177253257
0.13,1.032437765425364
0.48,1.8828745402089258
1.79,1.587901269515203
3.66,2.392139191314103
5.56,3.4876611485819264
1.84,1.6537550470112008
1.92,1.8875736868813329
6.57,2.2671609221075535
0.47,1.9917795581733901
0.41,1.7358309281352007
0.72,2.60811846079803
0.29,1.5026625635551374
-0.51,-0.6901773483864497
1.7,1.3022062306111672
2.19,2.5271328896655803
4.91,1.8295541732342044
3.73,2.6005400691725518
0.72,2.63866290990883
2.18,2.505677078036025
2.02,2.071207076953206
7.45,4.505228891154498
2.05,2.206723928725128
0.56,2.216925149897251
0.77,2.798077499477073
0.48,2.0604234879550694
4.01,3.3751402336221084
5.04,2.1951504482925275
1.89,1.7462336968374248
1.13,-0.2263086203087028
-0.07,0.6394365060269079
3.62,2.3219730645849213
0.12,1.1012680314822354
1.84,1.6326925510172914
0.83,2.90165536917839
0.48,2.0864839196293663
2.46,3.2210424697094204
0.5,2.096441219669834
3.8,2.8498664343277316
5.7,3.7951417538163508
-0.23,0.15594055896750525
-0.15,0.3976885324972067
4.73,1.433671495085575
3.87,3.0205861367654503
1.9,1.791128740143738
2.42,3.145192820852648
5.08,2.2730666348505064
3.66,2.539127392328467
1.89,1.8048475304672642
3.56,2.290084062808286
1.8,1.5509871686465735
0.11,0.9888818429545342
3.56,2.186037364379814
2.14,2.445916435924243
6.67,2.4790848009477577
3.85,2.960149143383025
2.14,2.3663704872683287
1.63,1.190149797849261
1.92,1.8984355048861548
3.66,2.539127392328467
3.85,2.975249428143589
0.17,1.2523605149382988
3.4,1.8416247311066747
4.78,1.492967654999445
0.29,1.5026625635551374
-0.05,0.7406832738101029
3.32,1.555595047789527
3.42,1.8296367477051718
1.3,4.081335499709363
5.33,2.955352755232739
0.16,1.1813322438463165
2.48,3.281479463091846
1.59,1.122932453086311
3.8,2.8643713127395136
0.33,1.7088073083389772
1.88,1.6686967010262528
1.87,1.7036007626840695
2.09,2.205608084871077
1.83,1.6950466875969321
2.23,2.6788528315293485
1.01,3.290515404363945
0.64,2.4071802616690983
0.29,1.538858482734605
0.41,1.8652845238496896
4.98,1.9951944518866394
0.28,1.5158924252492834
1.85,1.6839735437024135
1.96,1.934757458504214
1.45,0.6998734994093333
5.79,4.065123174440956
-0.22,0.2506449204234814
0.28,1.5439542041408687
0.4,1.7999240204473543
5.91,4.386935360334738
3.18,1.210750527560435
3.76,2.6881826731621112
2.43,3.0487674308342436
1.86,1.6702547533788872
0.39,1.8048475304672642
2.24,2.6573752893835008
2.04,2.129226590600334
2.14,2.3663704872683287
0.43,1.9262365218420703
0.1,1.0125410925145137
3.65,2.474926192747807
0.76,2.753493197335438
3.12,1.0255112786390603
3.83,2.8806662124788875
3.24,1.30504364514572
3.9,3.0778956175339065
2.24,2.6954736836883093
5.24,2.709365228581225
